id,color,numberFrame,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9
10,1;0.5;1;1,9,84.6506;107.4027;15.0000,84.6506;107.4027;15.0000,84.6506;107.4027;15.0000,84.6506;107.4027;15.0000,84.6506;107.4027;15.0000,84.6506;107.4027;15.0000,84.6506;107.4027;15.0000,84.6506;107.4027;15.0000,91.6064;106.6298;15.0000
11,1;0.5;1;1,9,84.6585;116.7871;15.0000,84.6585;116.7871;15.0000,84.6585;116.7871;15.0000,84.6585;116.7871;15.0000,84.6585;116.7871;15.0000,84.6585;116.7871;15.0000,84.6585;116.7871;15.0000,84.6585;116.7871;15.0000,91.6143;116.0142;15.0000
12,1;0.5;1;1,9,83.5344;126.0995;15.0000,83.5344;126.0995;15.0000,83.5344;126.0995;15.0000,83.5344;126.0995;15.0000,83.5344;126.0995;15.0000,83.5344;126.0995;15.0000,83.5344;126.0995;15.0000,83.5344;126.0995;15.0000,90.4901;125.3267;15.0000
13,1;0.5;1;1,9,81.1494;135.1654;15.0000,81.1494;135.1654;15.0000,81.1494;135.1654;15.0000,81.1494;135.1654;15.0000,81.1494;135.1654;15.0000,81.1494;135.1654;15.0000,81.1494;135.1654;15.0000,81.1494;135.1654;15.0000,88.1051;134.3925;15.0000
14,1;0.5;1;1,9,77.5885;143.8443;15.0000,77.5885;143.8443;15.0000,77.5885;143.8443;15.0000,77.5885;143.8443;15.0000,77.5885;143.8443;15.0000,77.5885;143.8443;15.0000,77.5885;143.8443;15.0000,77.5885;143.8443;15.0000,84.5443;143.0715;15.0000
15,1;0.5;1;1,9,73.2393;152.0429;15.0000,73.2393;152.0429;15.0000,73.2393;152.0429;15.0000,73.2393;152.0429;15.0000,73.2393;152.0429;15.0000,73.2393;152.0429;15.0000,73.2393;152.0429;15.0000,73.2393;152.0429;15.0000,80.1951;151.2700;15.0000
16,1;0.5;1;1,9,67.4755;159.4397;15.0000,67.4755;159.4397;15.0000,67.4755;159.4397;15.0000,67.4755;159.4397;15.0000,67.4755;159.4397;15.0000,67.4755;159.4397;15.0000,67.4755;159.4397;15.0000,67.4755;159.4397;15.0000,74.4313;158.6668;15.0000
17,1;0.5;1;1,9,60.9654;166.1978;15.0000,60.9654;166.1978;15.0000,60.9654;166.1978;15.0000,60.9654;166.1978;15.0000,60.9654;166.1978;15.0000,60.9654;166.1978;15.0000,60.9654;166.1978;15.0000,60.9654;166.1978;15.0000,67.9211;165.4249;15.0000
18,1;0.5;1;1,9,53.6485;172.0702;15.0000,53.6485;172.0702;15.0000,53.6485;172.0702;15.0000,53.6485;172.0702;15.0000,53.6485;172.0702;15.0000,53.6485;172.0702;15.0000,53.6485;172.0702;15.0000,53.6485;172.0702;15.0000,60.6043;171.2974;15.0000
19,1;0.5;1;1,9,45.5985;176.8860;15.0000,45.5985;176.8860;15.0000,45.5985;176.8860;15.0000,45.5985;176.8860;15.0000,45.5985;176.8860;15.0000,45.5985;176.8860;15.0000,45.5985;176.8860;15.0000,45.5985;176.8860;15.0000,52.5542;176.1131;15.0000
20,1;0.5;1;1,9,36.8971;180.3870;15.0000,36.8971;180.3870;15.0000,36.8971;180.3870;15.0000,36.8971;180.3870;15.0000,36.8971;180.3870;15.0000,36.8971;180.3870;15.0000,36.8971;180.3870;15.0000,36.8971;180.3870;15.0000,43.8529;179.6142;15.0000
21,1;0.5;1;1,9,27.8654;182.8667;15.0000,27.8654;182.8667;15.0000,27.8654;182.8667;15.0000,27.8654;182.8667;15.0000,27.8654;182.8667;15.0000,27.8654;182.8667;15.0000,27.8654;182.8667;15.0000,27.8654;182.8667;15.0000,34.8212;182.0938;15.0000
22,1;0.5;1;1,9,18.5534;184.0437;15.0000,18.5534;184.0437;15.0000,18.5534;184.0437;15.0000,18.5534;184.0437;15.0000,18.5534;184.0437;15.0000,18.5534;184.0437;15.0000,18.5534;184.0437;15.0000,18.5534;184.0437;15.0000,25.5091;183.2708;15.0000
23,1;0.5;1;1,9,9.1761;184.3807;15.0000,9.1761;184.3807;15.0000,9.1761;184.3807;15.0000,9.1761;184.3807;15.0000,9.1761;184.3807;15.0000,9.1761;184.3807;15.0000,9.1761;184.3807;15.0000,9.1761;184.3807;15.0000,16.1319;183.6079;15.0000
24,1;0.5;1;1,9,-0.0841;182.9007;15.0000,-0.0841;182.9007;15.0000,-0.0841;182.9007;15.0000,-0.0841;182.9007;15.0000,-0.0841;182.9007;15.0000,-0.0841;182.9007;15.0000,-0.0841;182.9007;15.0000,-0.0841;182.9007;15.0000,6.8717;182.1279;15.0000
25,1;0.5;1;1,9,-9.2205;180.7780;15.0000,-9.2205;180.7780;15.0000,-9.2205;180.7780;15.0000,-9.2205;180.7780;15.0000,-9.2205;180.7780;15.0000,-9.2205;180.7780;15.0000,-9.2205;180.7780;15.0000,-9.2205;180.7780;15.0000,-2.2647;180.0051;15.0000
26,1;0.5;1;1,9,-17.7895;176.9923;15.0000,-17.7895;176.9923;15.0000,-17.7895;176.9923;15.0000,-17.7895;176.9923;15.0000,-17.7895;176.9923;15.0000,-17.7895;176.9923;15.0000,-17.7895;176.9923;15.0000,-17.7895;176.9923;15.0000,-10.8338;176.2194;15.0000
27,1;0.5;1;1,9,-25.8985;172.2789;15.0000,-25.8985;172.2789;15.0000,-25.8985;172.2789;15.0000,-25.8985;172.2789;15.0000,-25.8985;172.2789;15.0000,-25.8985;172.2789;15.0000,-25.8985;172.2789;15.0000,-25.8985;172.2789;15.0000,-18.9427;171.5060;15.0000
28,1;0.5;1;1,9,-33.3572;166.5942;15.0000,-33.3572;166.5942;15.0000,-33.3572;166.5942;15.0000,-33.3572;166.5942;15.0000,-33.3572;166.5942;15.0000,-33.3572;166.5942;15.0000,-33.3572;166.5942;15.0000,-33.3572;166.5942;15.0000,-26.4014;165.8214;15.0000
29,1;0.5;1;1,9,-39.9507;159.9145;15.0000,-39.9507;159.9145;15.0000,-39.9507;159.9145;15.0000,-39.9507;159.9145;15.0000,-39.9507;159.9145;15.0000,-39.9507;159.9145;15.0000,-39.9507;159.9145;15.0000,-39.9507;159.9145;15.0000,-32.9950;159.1416;15.0000
30,1;0.5;1;1,9,-45.4794;152.4266;15.0000,-45.4794;152.4266;15.0000,-45.4794;152.4266;15.0000,-45.4794;152.4266;15.0000,-45.4794;152.4266;15.0000,-45.4794;152.4266;15.0000,-45.4794;152.4266;15.0000,-45.4794;152.4266;15.0000,-38.5236;151.6538;15.0000
31,1;0.5;1;1,9,-50.0433;144.2578;15.0000,-50.0433;144.2578;15.0000,-50.0433;144.2578;15.0000,-50.0433;144.2578;15.0000,-50.0433;144.2578;15.0000,-50.0433;144.2578;15.0000,-50.0433;144.2578;15.0000,-50.0433;144.2578;15.0000,-43.0876;143.4850;15.0000
32,1;0.5;1;1,9,-53.5760;135.5617;15.0000,-53.5760;135.5617;15.0000,-53.5760;135.5617;15.0000,-53.5760;135.5617;15.0000,-53.5760;135.5617;15.0000,-53.5760;135.5617;15.0000,-53.5760;135.5617;15.0000,-53.5760;135.5617;15.0000,-46.6202;134.7888;15.0000
33,1;0.5;1;1,9,-55.8323;126.4576;15.0000,-55.8323;126.4576;15.0000,-55.8323;126.4576;15.0000,-55.8323;126.4576;15.0000,-55.8323;126.4576;15.0000,-55.8323;126.4576;15.0000,-55.8323;126.4576;15.0000,-55.8323;126.4576;15.0000,-48.8765;125.6847;15.0000
34,1;0.5;1;1,9,-57.1814;117.1683;15.0000,-57.1814;117.1683;15.0000,-57.1814;117.1683;15.0000,-57.1814;117.1683;15.0000,-57.1814;117.1683;15.0000,-57.1814;117.1683;15.0000,-57.1814;117.1683;15.0000,-57.1814;117.1683;15.0000,-50.2256;116.3954;15.0000
35,1;0.5;1;1,9,-57.6935;107.8006;15.0000,-57.6935;107.8006;15.0000,-57.6935;107.8006;15.0000,-57.6935;107.8006;15.0000,-57.6935;107.8006;15.0000,-57.6935;107.8006;15.0000,-57.6935;107.8006;15.0000,-57.6935;107.8006;15.0000,-50.7377;107.0278;15.0000
36,1;0.5;1;1,9,-56.2818;98.5576;15.0000,-56.2818;98.5576;15.0000,-56.2818;98.5576;15.0000,-56.2818;98.5576;15.0000,-56.2818;98.5576;15.0000,-56.2818;98.5576;15.0000,-56.2818;98.5576;15.0000,-56.2818;98.5576;15.0000,-49.3260;97.7847;15.0000
37,1;0.5;1;1,9,-53.7117;89.5447;15.0000,-53.7117;89.5447;15.0000,-53.7117;89.5447;15.0000,-53.7117;89.5447;15.0000,-53.7117;89.5447;15.0000,-53.7117;89.5447;15.0000,-53.7117;89.5447;15.0000,-53.7117;89.5447;15.0000,-46.7560;88.7719;15.0000
38,1;0.5;1;1,9,-50.3116;80.8038;15.0000,-50.3116;80.8038;15.0000,-50.3116;80.8038;15.0000,-50.3116;80.8038;15.0000,-50.3116;80.8038;15.0000,-50.3116;80.8038;15.0000,-50.3116;80.8038;15.0000,-50.3116;80.8038;15.0000,-43.3559;80.0309;15.0000
39,1;0.5;1;1,9,-45.6829;72.6468;15.0000,-45.6829;72.6468;15.0000,-45.6829;72.6468;15.0000,-45.6829;72.6468;15.0000,-45.6829;72.6468;15.0000,-45.6829;72.6468;15.0000,-45.6829;72.6468;15.0000,-45.6829;72.6468;15.0000,-38.7272;71.8740;15.0000
40,1;0.5;1;1,9,-40.1597;65.0807;15.0000,-40.1597;65.0807;15.0000,-40.1597;65.0807;15.0000,-40.1597;65.0807;15.0000,-40.1597;65.0807;15.0000,-40.1597;65.0807;15.0000,-40.1597;65.0807;15.0000,-40.1597;65.0807;15.0000,-33.2039;64.3079;15.0000
41,1;0.5;1;1,9,-33.6060;58.3653;15.0000,-33.6060;58.3653;15.0000,-33.6060;58.3653;15.0000,-33.6060;58.3653;15.0000,-33.6060;58.3653;15.0000,-33.6060;58.3653;15.0000,-33.6060;58.3653;15.0000,-33.6060;58.3653;15.0000,-26.6503;57.5925;15.0000
42,1;0.5;1;1,9,-26.1916;52.6326;15.0000,-26.1916;52.6326;15.0000,-26.1916;52.6326;15.0000,-26.1916;52.6326;15.0000,-26.1916;52.6326;15.0000,-26.1916;52.6326;15.0000,-26.1916;52.6326;15.0000,-26.1916;52.6326;15.0000,-19.2358;51.8597;15.0000
43,1;0.5;1;1,9,-18.0557;47.9652;15.0000,-18.0557;47.9652;15.0000,-18.0557;47.9652;15.0000,-18.0557;47.9652;15.0000,-18.0557;47.9652;15.0000,-18.0557;47.9652;15.0000,-18.0557;47.9652;15.0000,-18.0557;47.9652;15.0000,-11.0999;47.1923;15.0000
44,1;0.5;1;1,9,-9.4704;44.2081;15.0000,-9.4704;44.2081;15.0000,-9.4704;44.2081;15.0000,-9.4704;44.2081;15.0000,-9.4704;44.2081;15.0000,-9.4704;44.2081;15.0000,-9.4704;44.2081;15.0000,-9.4704;44.2081;15.0000,-2.5147;43.4353;15.0000
45,1;0.5;1;1,9,-0.5422;41.9440;15.0000,-0.5422;41.9440;15.0000,-0.5422;41.9440;15.0000,-0.5422;41.9440;15.0000,-0.5422;41.9440;15.0000,-0.5422;41.9440;15.0000,-0.5422;41.9440;15.0000,-0.5422;41.9440;15.0000,6.4136;41.1711;15.0000
46,1;0.5;1;1,9,8.7659;40.7401;15.0000,8.7659;40.7401;15.0000,8.7659;40.7401;15.0000,8.7659;40.7401;15.0000,8.7659;40.7401;15.0000,8.7659;40.7401;15.0000,8.7659;40.7401;15.0000,8.7659;40.7401;15.0000,15.7217;39.9673;15.0000
47,1;0.5;1;1,9,18.1523;40.7289;15.0000,18.1523;40.7289;15.0000,18.1523;40.7289;15.0000,18.1523;40.7289;15.0000,18.1523;40.7289;15.0000,18.1523;40.7289;15.0000,18.1523;40.7289;15.0000,18.1523;40.7289;15.0000,25.1081;39.9561;15.0000
48,1;0.5;1;1,9,-0.9555;157.8540;15.0000,-9.3381;153.8076;15.0000,-14.6296;149.8703;15.0000,-20.0400;144.3571;15.0000,-25.5098;136.2998;15.0000,-29.0199;128.5265;15.0000,-25.4132;128.0112;15.0000,-27.8689;119.4400;15.0000,-20.9132;118.6671;15.0000
49,1;0.5;1;1,9,-5.8568;154.1944;15.0000,-13.4325;149.2632;15.0000,-18.0602;144.8060;15.0000,-22.6155;138.8090;15.0000,-26.9222;130.3483;15.0000,-29.3747;122.4200;15.0000,-25.7680;121.9047;15.0000,-27.1153;113.3698;15.0000,-20.1595;112.5969;15.0000
50,1;0.5;1;1,9,-8.7229;148.7251;15.0000,-15.1781;143.3403;15.0000,-18.9748;138.6994;15.0000,-22.5407;132.6347;15.0000,-25.6126;124.3140;15.0000,-27.0346;116.7058;15.0000,-23.4279;116.1906;15.0000,-23.7818;108.1721;15.0000,-16.8260;107.3993;15.0000
51,1;0.5;1;1,9,-10.2082;142.7123;15.0000,-15.4635;137.1533;15.0000,-18.4067;132.5319;15.0000,-20.9924;126.6377;15.0000,-22.8950;118.7485;15.0000,-23.3896;111.6984;15.0000,-19.7829;111.1831;15.0000,-19.2925;103.9052;15.0000,-12.3367;103.1323;15.0000
52,1;0.5;1;1,9,-10.8322;136.5455;15.0000,-14.8740;130.9831;15.0000,-16.9743;126.5014;15.0000,-18.6131;120.9143;15.0000,-19.4178;113.6174;15.0000,-19.0723;107.2510;15.0000,-15.4656;106.7357;15.0000,-14.2431;100.3105;15.0000,-7.2873;99.5376;15.0000
53,1;0.5;1;1,9,-10.8549;130.3457;15.0000,-13.6884;124.8978;15.0000,-14.9631;120.6369;15.0000,-15.6889;115.4474;15.0000,-15.4582;108.8467;15.0000,-14.3427;103.2424;15.0000,-10.7360;102.7272;15.0000,-8.8674;97.2219;15.0000,-1.9116;96.4490;15.0000
54,1;0.5;1;1,9,-10.4064;124.1616;15.0000,-12.0437;118.9195;15.0000,-12.5119;114.9416;15.0000,-12.3575;110.2181;15.0000,-11.1472;104.3903;15.0000,-9.3217;99.6045;15.0000,-5.7150;99.0893;15.0000,-3.2720;94.5504;15.0000,3.6837;93.7776;15.0000
55,1;0.5;1;1,9,-9.5480;118.0207;15.0000,-10.0053;113.0636;15.0000,-9.6877;109.4216;15.0000,-8.6860;105.2214;15.0000,-6.5495;100.2300;15.0000,-4.0700;96.3082;15.0000,-0.4633;95.7929;15.0000,2.4886;92.2566;15.0000,9.4444;91.4837;15.0000
56,1;0.5;1;1,9,-8.2942;111.9484;15.0000,-7.5924;107.3519;15.0000,-6.5123;104.0960;15.0000,-4.6989;100.4728;15.0000,-1.6924;96.3759;15.0000,1.3840;93.3585;15.0000,4.9907;92.8432;15.0000,8.3856;90.3403;15.0000,15.3413;89.5674;15.0000
57,1;0.5;1;1,9,-6.6125;105.9807;15.0000,-4.7803;101.8262;15.0000,-2.9670;99.0095;15.0000,-0.3850;96.0196;15.0000,3.4258;92.8767;15.0000,7.0332;90.8036;15.0000,10.6399;90.2884;15.0000,14.4032;88.8475;15.0000,21.3590;88.0747;15.0000
58,1;0.5;1;1,9,-4.3955;100.1922;15.0000,-1.4781;96.5805;15.0000,1.0252;94.2677;15.0000,4.3149;91.9782;15.0000,8.8397;89.8581;15.0000,12.8899;88.7736;15.0000,16.4966;88.2584;15.0000,20.5302;87.9085;15.0000,27.4860;87.1356;15.0000
59,1;0.5;1;1,9,-1.4672;94.7301;15.0000,2.4584;91.7937;15.0000,5.5825;90.0677;15.0000,9.4858;88.5619;15.0000,14.5900;87.5464;15.0000,18.9548;87.4983;15.0000,22.5615;86.9830;15.0000,26.7257;87.7492;15.0000,33.6815;86.9764;15.0000
60,1;0.5;1;1,9,2.0080;89.5960;15.0000,6.8672;87.4350;15.0000,10.5488;86.3566;15.0000,14.9822;85.6938;15.0000,20.5494;85.8370;15.0000,25.1207;86.8523;15.0000,28.7274;86.3371;15.0000,32.9070;88.2274;15.0000,39.8627;87.4545;15.0000
61,1;0.5;1;1,9,5.8781;84.7520;15.0000,11.6069;83.4378;15.0000,15.7932;83.0493;15.0000,20.6885;83.2688;15.0000,26.6256;84.6036;15.0000,31.3189;86.6955;15.0000,34.9256;86.1803;15.0000,39.0316;89.1924;15.0000,45.9873;88.4195;15.0000
62,1;0.5;1;1,9,10.0980;80.2095;15.0000,16.6310;79.8045;15.0000,21.2691;80.1414;15.0000,26.5593;81.2751;15.0000,32.7768;83.8258;15.0000,37.5116;87.0004;15.0000,41.1182;86.4852;15.0000,45.0674;90.6105;15.0000,52.0231;89.8376;15.0000
63,1;0.5;1;1,9,14.6736;76.0263;15.0000,21.9338;76.5930;15.0000,26.9633;77.6895;15.0000,32.5725;79.7665;15.0000,38.9703;83.5517;15.0000,43.6582;87.8088;15.0000,47.2649;87.2935;15.0000,50.9670;92.5155;15.0000,57.9228;91.7426;15.0000
64,1;0.5;1;1,9,19.6510;72.3331;15.0000,27.5354;73.9402;15.0000,32.8764;75.8323;15.0000,38.7068;78.8799;15.0000,45.1578;83.9114;15.0000,49.6886;89.2401;15.0000,53.2953;88.7248;15.0000,56.6398;95.0122;15.0000,63.5956;94.2393;15.0000
65,1;0.5;1;1,9,25.1150;69.4185;15.0000,33.4625;72.1460;15.0000,38.9940;74.8702;15.0000,44.8994;78.9096;15.0000,51.2191;85.1805;15.0000,55.4364;91.5450;15.0000,59.0431;91.0297;15.0000,61.8770;98.3171;15.0000,68.8327;97.5443;15.0000
66,1;0.5;1;1,9,31.1156;67.9766;15.0000,39.6291;71.9009;15.0000,45.1356;75.4753;15.0000,50.8650;80.4903;15.0000,56.7474;87.9236;15.0000,60.4028;95.2086;15.0000,64.0095;94.6933;15.0000,66.1001;102.8173;15.0000,73.0559;102.0444;15.0000
67,1;0.5;1;1,9,37.0629;69.3847;15.0000,45.1881;74.4407;15.0000,50.2926;78.7555;15.0000,55.4302;84.5537;15.0000,60.4066;92.8188;15.0000,63.1539;100.6661;15.0000,66.7606;100.1508;15.0000,67.8205;108.6819;15.0000,74.7763;107.9090;15.0000
68,1;0.5;1;1,9,41.1912;73.8907;15.0000,48.3594;79.6646;15.0000,52.7154;84.3659;15.0000,56.9236;90.4796;15.0000,60.6831;98.9238;15.0000,62.3635;106.7259;15.0000,65.9702;106.2107;15.0000,65.9488;114.4994;15.0000,72.9046;113.7265;15.0000
69,1;0.5;1;1,9,40.9968;79.9039;15.0000,46.9972;85.5248;15.0000,50.5602;89.9830;15.0000,53.8969;95.6793;15.0000,56.6766;103.4121;15.0000,57.6368;110.4483;15.0000,61.2435;109.9331;15.0000,60.6277;117.3070;15.0000,67.5834;116.5342;15.0000
70,1;0.5;1;1,9,37.5159;85.0061;15.0000,42.5889;89.8510;15.0000,45.5990;93.6619;15.0000,48.4107;98.5164;15.0000,50.7334;105.0933;15.0000,51.4917;111.0691;15.0000,55.0984;110.5539;15.0000,54.4714;116.8080;15.0000,61.4272;116.0351;15.0000
71,1;0.5;1;1,9,33.1122;89.3685;15.0000,37.4197;93.2719;15.0000,40.0084;96.3395;15.0000,42.4636;100.2644;15.0000,44.5567;105.6151;15.0000,45.3185;110.5077;15.0000,48.9252;109.9925;15.0000,48.5011;115.1411;15.0000,55.4569;114.3682;15.0000
72,1;0.5;1;1,9,28.4308;93.4356;15.0000,32.0356;96.3489;15.0000,34.2523;98.6469;15.0000,36.4123;101.6205;15.0000,38.3565;105.7320;15.0000,39.1925;109.5436;15.0000,42.7992;109.0283;15.0000,42.6500;113.0866;15.0000,49.6057;112.3137;15.0000
73,1;0.5;1;1,9,23.7125;97.4601;15.0000,26.6236;99.3771;15.0000,28.4754;100.9021;15.0000,30.3488;102.9217;15.0000,32.1552;105.7928;15.0000,33.0754;108.5239;15.0000,36.6821;108.0086;15.0000,36.8175;110.9790;15.0000,43.7733;110.2062;15.0000
74,1;0.5;1;1,9,19.1360;101.6440;15.0000,21.3197;102.5892;15.0000,22.7801;103.3543;15.0000,24.3344;104.4305;15.0000,25.9605;106.0668;15.0000,26.9276;107.7152;15.0000,30.5343;107.2000;15.0000,30.9168;109.0736;15.0000,37.8726;108.3007;15.0000
75,1;0.5;1;1,9,14.9579;106.2211;15.0000,16.3299;106.2645;15.0000,17.3323;106.3086;15.0000,18.4839;106.4745;15.0000,19.8192;106.8979;15.0000,20.7354;107.4646;15.0000,24.3421;106.9493;15.0000,24.8716;107.7089;15.0000,31.8274;106.9360;15.0000
76,1;0.5;1;1,9,11.7585;111.5100;15.0000,12.1614;110.8288;15.0000,12.5758;110.2562;15.0000,13.1567;109.6097;15.0000,13.9722;108.9030;15.0000,14.6285;108.4211;15.0000,18.2352;107.9059;15.0000,18.6925;107.5470;15.0000,25.6482;106.7741;15.0000
77,1;0.5;1;1,9,10.3743;117.5348;15.0000,9.6300;116.4684;15.0000,9.2929;115.4942;15.0000,9.0775;114.2545;15.0000,9.0455;112.6369;15.0000,9.1271;111.2404;15.0000,12.7338;110.7252;15.0000,12.7724;109.3265;15.0000,19.7282;108.5536;15.0000
78,1;0.5;1;1,9,10.1622;123.7287;15.0000,8.2151;122.5023;15.0000,7.0617;121.2762;15.0000,5.9494;119.6047;15.0000,4.9095;117.2525;15.0000,4.2508;115.0655;15.0000,7.8575;114.5503;15.0000,7.2855;112.2081;15.0000,14.2413;111.4353;15.0000
79,1;0.5;1;1,9,10.4831;129.9213;15.0000,7.3234;128.6387;15.0000,5.3346;127.2317;15.0000,3.2911;125.2069;15.0000,1.1834;122.2089;15.0000,-0.2813;119.2976;15.0000,3.3254;118.7824;15.0000,2.0637;115.5523;15.0000,9.0194;114.7794;15.0000
80,1;0.5;1;1,9,10.9894;136.1022;15.0000,6.6158;134.7998;15.0000,3.7865;133.2370;15.0000,0.8016;130.8868;15.0000,-2.3931;127.2754;15.0000,-4.6851;123.6641;15.0000,-1.0784;123.1489;15.0000,-3.0562;119.0518;15.0000,3.8995;118.2789;15.0000
81,1;0.5;1;1,9,11.4014;142.2897;15.0000,5.8144;140.9490;15.0000,2.1471;139.2175;15.0000,-1.7741;136.5278;15.0000,-6.0461;132.2863;15.0000,-9.1548;127.9626;15.0000,-5.5481;127.4474;15.0000,-8.2286;122.4725;15.0000,-1.2728;121.6997;15.0000
82,1;0.5;1;1,9,11.3296;148.4867;15.0000,4.5366;147.0134;15.0000,0.0476;145.0486;15.0000,-4.7802;141.9474;15.0000,-10.0765;136.9944;15.0000,-13.9431;131.8971;15.0000,-10.3364;131.3819;15.0000,-13.6487;125.4777;15.0000,-6.6930;124.7048;15.0000
83,1;0.5;1;1,9,9.8498;154.4703;15.0000,1.9194;152.5939;15.0000,-3.3122;150.2162;15.0000,-8.9239;146.5105;15.0000,-15.0500;140.6353;15.0000,-19.4745;134.6167;15.0000,-15.8678;134.1015;15.0000,-19.5803;127.1537;15.0000,-12.6245;126.3809;15.0000
84,1;0.5;1;1,9,5.1592;158.2021;15.0000,-3.4084;155.3404;15.0000,-8.9671;152.2039;15.0000,-14.8241;147.5672;15.0000,-21.0423;140.4892;15.0000,-25.3499;133.4297;15.0000,-21.7432;132.9144;15.0000,-25.1447;124.9253;15.0000,-18.1890;124.1524;15.0000
